post_id,date,time,tz,weekday,platform,pillar,board,theme_id,format,is_video,hook,title,primary_asset,asset_folder,caption
GG-260826-PIN,2026-08-26,20:00,ET,Wed,Pinterest,WORK CAPACITY,Career Growth & Success,T10,Carousel Pin · 3 cards (1000x1500),no,How to become hard to replace — without a new title.,How To Be Indispensable At Work,01_pin.png,content_backlog/pinterest/GG-260826-PIN,"How To Be Indispensable At Work: swipe through all 3 cards. How to become hard to replace — without a new title. Career security is a stack, not a label. Save this pin and follow for systems that actually stick."
GG-260830-PIN,2026-08-30,20:00,ET,Sun,Pinterest,SOCIAL CAPITAL,Career Growth & Success,T14,Carousel Pin · 3 cards (1000x1500),no,Good conversation. Now the part almost everyone skips.,Networking Follow Up Template,01_pin.png,content_backlog/pinterest/GG-260830-PIN,Networking Follow Up Template: swipe through all 3 cards. Good conversation. Now the part almost everyone skips. Follow-up turns a moment into a relationship. Save this pin and follow for systems that actually stick.
GG-260831-PIN,2026-08-31,20:00,ET,Mon,Pinterest,THE REBUILD,Career Growth & Success,T15,Pin 1000x1500,no,You wake up at 22 with no network and no savings. First move?,How To Start Over At 22,01_pin.png,content_backlog/pinterest/GG-260831-PIN,"How To Start Over At 22. You wake up at 22 with no network and no savings. First move? Spend the year becoming easy to recommend. Save this pin for later, and follow @gogettrdaily for more."
GG-260906-PIN,2026-09-06,20:00,ET,Sun,Pinterest,CAREER SIGNALS,Career Growth & Success,T21,Pin 1000x1500,no,You do not need to be elite at one thing if the stack is rare.,Most Valuable Skills To Learn,01_pin.png,content_backlog/pinterest/GG-260906-PIN,"Most Valuable Skills To Learn. You do not need to be elite at one thing if the stack is rare. Build a combination that is hard to ignore. Save this pin for later, and follow @gogettrdaily for more."
GG-260919-PIN,2026-09-19,20:00,ET,Sat,Pinterest,SOCIAL CAPITAL,Career Growth & Success,T34,Carousel Pin · 3 cards (1000x1500),no,Your reputation is compounding while you are not in the room.,How To Build A Good Reputation,01_pin.png,content_backlog/pinterest/GG-260919-PIN,How To Build A Good Reputation: swipe through all 3 cards. Your reputation is compounding while you are not in the room. Reputation is the meeting you do not attend. Save this pin and follow for systems that actually stick.
GG-260921-PIN,2026-09-21,20:00,ET,Mon,Pinterest,CAREER SIGNALS,Career Growth & Success,T36,Video Pin · vertical MP4 (1080x1920),yes,What your future employer cares about more than your GPA.,What Employers Actually Want,video.mp4,content_backlog/pinterest/GG-260921-PIN,"What Employers Actually Want — the quick breakdown. What your future employer cares about more than your GPA. Build evidence, not just credentials. Save this pin for the next time you need it."
GG-261001-PIN,2026-10-01,20:00,ET,Thu,Pinterest,SOCIAL CAPITAL,Career Growth & Success,T46,Carousel Pin · 3 cards (1000x1500),no,Who could you connect without asking for anything back?,How To Network By Giving,01_pin.png,content_backlog/pinterest/GG-261001-PIN,How To Network By Giving: swipe through all 3 cards. Who could you connect without asking for anything back? Be useful before you need usefulness. Save this pin and follow for systems that actually stick.
GG-261004-PIN,2026-10-04,20:00,ET,Sun,Pinterest,SOCIAL CAPITAL,Career Growth & Success,T49,Pin 1000x1500,no,Things that quietly make you look competent.,How To Appear More Competent,01_pin.png,content_backlog/pinterest/GG-261004-PIN,"How To Appear More Competent. Things that quietly make you look competent. People read competence before they read credentials. Save this pin for later, and follow @gogettrdaily for more."
GG-261026-PIN,2026-10-26,20:00,ET,Mon,Pinterest,WORK CAPACITY,Career Growth & Success,T71,Pin 1000x1500,no,You will forget your own wins by review season. Log them.,Brag Document For Work,01_pin.png,content_backlog/pinterest/GG-261026-PIN,"Brag Document For Work. You will forget your own wins by review season. Log them. Memory is a bad advocate. Keep the receipts. Save this pin for later, and follow @gogettrdaily for more."
GG-261027-PIN,2026-10-27,20:00,ET,Tue,Pinterest,CAREER SIGNALS,Career Growth & Success,T72,Video Pin · vertical MP4 (1080x1920),yes,Your manager cannot promote work they never saw.,How To Manage Up At Work,video.mp4,content_backlog/pinterest/GG-261027-PIN,"How To Manage Up At Work — the quick breakdown. Your manager cannot promote work they never saw. Managing up is visibility, not politics. Save this pin for the next time you need it."
GG-261028-PIN,2026-10-28,20:00,ET,Wed,Pinterest,WORK CAPACITY,Career Growth & Success,T73,Pin 1000x1500,no,Stop asking how am I doing. Ask what they can answer.,How To Ask For Feedback,01_pin.png,content_backlog/pinterest/GG-261028-PIN,"How To Ask For Feedback. Stop asking how am I doing. Ask what they can answer. Vague questions get vague, useless answers. Save this pin for later, and follow @gogettrdaily for more."
GG-261029-PIN,2026-10-29,20:00,ET,Thu,Pinterest,WORK CAPACITY,Career Growth & Success,T74,Carousel Pin · 3 cards (1000x1500),no,Be the person who wrote down how it actually works.,Be Indispensable At Work,01_pin.png,content_backlog/pinterest/GG-261029-PIN,Be Indispensable At Work: swipe through all 3 cards. Be the person who wrote down how it actually works. Whoever documents the system quietly runs it. Save this pin and follow for systems that actually stick.
GG-261030-PIN,2026-10-30,20:00,ET,Fri,Pinterest,CAREER SIGNALS,Career Growth & Success,T75,Pin 1000x1500,no,Act at the level you want before anyone hands it over.,How To Get Promoted,01_pin.png,content_backlog/pinterest/GG-261030-PIN,"How To Get Promoted. Act at the level you want before anyone hands it over. The promotion follows the behavior, not the reverse. Save this pin for later, and follow @gogettrdaily for more."
GG-261101-PIN,2026-11-01,20:00,ET,Sun,Pinterest,SOCIAL CAPITAL,Career Growth & Success,T77,Pin 1000x1500,no,A mentor talks to you. A sponsor talks about you.,Mentor Versus Sponsor,01_pin.png,content_backlog/pinterest/GG-261101-PIN,"Mentor Versus Sponsor. A mentor talks to you. A sponsor talks about you. Advice is nice. Advocacy is what moves you. Save this pin for later, and follow @gogettrdaily for more."
GG-261108-PIN,2026-11-08,20:00,ET,Sun,Pinterest,SOCIAL CAPITAL,Career Growth & Success,T84,Video Pin · vertical MP4 (1080x1920),yes,"Your next opportunity lives in the outer ring, not the inner.",Power Of Weak Ties,video.mp4,content_backlog/pinterest/GG-261108-PIN,"Power Of Weak Ties — the quick breakdown. Your next opportunity lives in the outer ring, not the inner. Close friends know what you know. Acquaintances do not. Save this pin for the next time you need it."
GG-261110-PIN,2026-11-10,20:00,ET,Tue,Pinterest,SOCIAL CAPITAL,Career Growth & Success,T86,Carousel Pin · 3 cards (1000x1500),no,Great job means nothing. Name the exact thing they did.,How To Give Genuine Praise,01_pin.png,content_backlog/pinterest/GG-261110-PIN,How To Give Genuine Praise: swipe through all 3 cards. Great job means nothing. Name the exact thing they did. Specific praise is remembered. Generic praise is noise. Save this pin and follow for systems that actually stick.
GG-261111-PIN,2026-11-11,20:00,ET,Wed,Pinterest,SOCIAL CAPITAL,Career Growth & Success,T87,Pin 1000x1500,no,Want a yes on a favor? Ask for advice instead.,How To Ask For Help,01_pin.png,content_backlog/pinterest/GG-261111-PIN,"How To Ask For Help. Want a yes on a favor? Ask for advice instead. People guard favors and give guidance freely. Save this pin for later, and follow @gogettrdaily for more."
