post_id,date,time,tz,weekday,platform,pillar,board,theme_id,format,is_video,hook,title,primary_asset,asset_folder,caption
GG-260818-PIN,2026-08-18,20:00,ET,Tue,Pinterest,168 HOURS,Productivity & Time Management,T02,Carousel Pin · 3 cards (1000x1500),no,Your 9 to 5 pays today. What does 6 to 10 build?,Evening Routine For Ambitious People,01_pin.png,content_backlog/pinterest/GG-260818-PIN,"Evening Routine For Ambitious People: swipe through all 3 cards. Your 9 to 5 pays today. What does 6 to 10 build? Four hours a night, repeated, becomes a direction. Save this pin and follow for systems that actually stick."
GG-260824-PIN,2026-08-24,20:00,ET,Mon,Pinterest,THE AUDIT,Productivity & Time Management,T08,Video Pin · vertical MP4 (1080x1920),yes,Your week is leaking. Find the hole before you add another goal.,Time Management Audit,video.mp4,content_backlog/pinterest/GG-260824-PIN,"Time Management Audit — the quick breakdown. Your week is leaking. Find the hole before you add another goal. For seven days, mark every block that was neither work nor recovery. Save this pin for the next time you need it."
GG-260828-PIN,2026-08-28,20:00,ET,Fri,Pinterest,ENVIRONMENT ENGINEERING,Productivity & Time Management,T12,Video Pin · vertical MP4 (1080x1920),yes,Your phone is either a tool or a slot machine. Which did you build?,Phone Home Screen Setup For Focus,video.mp4,content_backlog/pinterest/GG-260828-PIN,Phone Home Screen Setup For Focus — the quick breakdown. Your phone is either a tool or a slot machine. Which did you build? Your home screen is an environment. Save this pin for the next time you need it.
GG-260907-PIN,2026-09-07,20:00,ET,Mon,Pinterest,168 HOURS,Productivity & Time Management,T22,Carousel Pin · 3 cards (1000x1500),no,168 hours a week. Most of us can only account for 90.,Where Does My Time Go,01_pin.png,content_backlog/pinterest/GG-260907-PIN,Where Does My Time Go: swipe through all 3 cards. 168 hours a week. Most of us can only account for 90. The calendar keeps receipts. Read last week before you plan next. Save this pin and follow for systems that actually stick.
GG-260910-PIN,2026-09-10,20:00,ET,Thu,Pinterest,THE AUDIT,Productivity & Time Management,T25,Pin 1000x1500,no,Your calendar is a better personality test than your bio.,What Your Calendar Says About You,01_pin.png,content_backlog/pinterest/GG-260910-PIN,"What Your Calendar Says About You. Your calendar is a better personality test than your bio. Do not tell me your priorities. Show me last week. Save this pin for later, and follow @gogettrdaily for more."
GG-260913-PIN,2026-09-13,20:00,ET,Sun,Pinterest,FRICTION FILE,Productivity & Time Management,T28,Video Pin · vertical MP4 (1080x1920),yes,You have 20 minutes. Use them where the return lasts.,Quick Productivity Wins,video.mp4,content_backlog/pinterest/GG-260913-PIN,Quick Productivity Wins — the quick breakdown. You have 20 minutes. Use them where the return lasts. Small friction removed today pays every day after. Save this pin for the next time you need it.
GG-261003-PIN,2026-10-03,20:00,ET,Sat,Pinterest,MINI CHALLENGES,Productivity & Time Management,T48,Video Pin · vertical MP4 (1080x1920),yes,Arrive five minutes early for five days. Track how different the day feels.,Small Habits That Change Your Day,video.mp4,content_backlog/pinterest/GG-261003-PIN,Small Habits That Change Your Day — the quick breakdown. Arrive five minutes early for five days. Track how different the day feels. Run the experiment. Let the result argue. Save this pin for the next time you need it.
GG-261009-PIN,2026-10-09,20:00,ET,Fri,Pinterest,MINI CHALLENGES,Productivity & Time Management,T54,Carousel Pin · 3 cards (1000x1500),no,"For five nights, leave one sentence telling tomorrow where to start.",Night Routine For A Productive Morning,01_pin.png,content_backlog/pinterest/GG-261009-PIN,"Night Routine For A Productive Morning: swipe through all 3 cards. For five nights, leave one sentence telling tomorrow where to start. Make morning inherit clarity. Save this pin and follow for systems that actually stick."
GG-261019-PIN,2026-10-19,20:00,ET,Mon,Pinterest,DEEP WORK,Productivity & Time Management,T64,Video Pin · vertical MP4 (1080x1920),yes,"Your best work needs 90 quiet minutes, not more willpower.",Deep Work Time Block,video.mp4,content_backlog/pinterest/GG-261019-PIN,"Deep Work Time Block — the quick breakdown. Your best work needs 90 quiet minutes, not more willpower. Depth beats hours. Protect one block like a meeting. Save this pin for the next time you need it."
GG-261020-PIN,2026-10-20,20:00,ET,Tue,Pinterest,SYSTEM DESIGN,Productivity & Time Management,T65,Pin 1000x1500,no,A task with no box expands to eat your whole day.,How To Timebox Your Day,01_pin.png,content_backlog/pinterest/GG-261020-PIN,"How To Timebox Your Day. A task with no box expands to eat your whole day. Give every task a start, an end, and a slot on the calendar. Save this pin for later, and follow @gogettrdaily for more."
