post_id,date,time,tz,weekday,platform,pillar,board,theme_id,format,is_video,hook,title,primary_asset,asset_folder,caption
GG-260829-PIN,2026-08-29,20:00,ET,Sat,Pinterest,RECOVERY PROTOCOL,Fitness & Healthy Habits,T13,Pin 1000x1500,no,"Recovery is a performance metric, not a reward.",Recovery Routine For Performance,01_pin.png,content_backlog/pinterest/GG-260829-PIN,"Recovery Routine For Performance. Recovery is a performance metric, not a reward. You do not rise to your goals. You fall to your recovery. Save this pin for later, and follow @gogettrdaily for more."
GG-260916-PIN,2026-09-16,20:00,ET,Wed,Pinterest,RECOVERY PROTOCOL,Fitness & Healthy Habits,T31,Pin 1000x1500,no,Track your energy for 5 days. The pattern is louder than motivation.,How To Manage Your Energy,01_pin.png,content_backlog/pinterest/GG-260916-PIN,"How To Manage Your Energy. Track your energy for 5 days. The pattern is louder than motivation. Design the day around your real peaks. Save this pin for later, and follow @gogettrdaily for more."
GG-260923-PIN,2026-09-23,20:00,ET,Wed,Pinterest,RECOVERY PROTOCOL,Fitness & Healthy Habits,T38,Carousel Pin · 3 cards (1000x1500),no,Save this for the next overwhelmed day. Do it in this order.,What To Do When Overwhelmed,01_pin.png,content_backlog/pinterest/GG-260923-PIN,What To Do When Overwhelmed: swipe through all 3 cards. Save this for the next overwhelmed day. Do it in this order. Do not rebuild the system while you are inside the fire. Save this pin and follow for systems that actually stick.
GG-260924-PIN,2026-09-24,20:00,ET,Thu,Pinterest,BORING EDGE,Fitness & Healthy Habits,T39,Pin 1000x1500,no,Things that become valuable fast after 25.,Things That Matter More After 25,01_pin.png,content_backlog/pinterest/GG-260924-PIN,"Things That Matter More After 25. Things that become valuable fast after 25. The boring things stop being boring. Save this pin for later, and follow @gogettrdaily for more."
GG-261006-PIN,2026-10-06,20:00,ET,Tue,Pinterest,MINI CHALLENGES,Fitness & Healthy Habits,T51,Pin 1000x1500,no,"For seven meals, eat without a screen. Notice the pace.",Mindful Eating Challenge,01_pin.png,content_backlog/pinterest/GG-261006-PIN,"Mindful Eating Challenge. For seven meals, eat without a screen. Notice the pace. Seven meals, not forever. Save this pin for later, and follow @gogettrdaily for more."
GG-261021-PIN,2026-10-21,20:00,ET,Wed,Pinterest,DEEP WORK,Fitness & Healthy Habits,T66,Carousel Pin · 3 cards (1000x1500),no,Work follows you home because you never told it to stop.,End Of Workday Routine,01_pin.png,content_backlog/pinterest/GG-261021-PIN,End Of Workday Routine: swipe through all 3 cards. Work follows you home because you never told it to stop. A clean end is what lets the evening actually begin. Save this pin and follow for systems that actually stick.
GG-261102-PIN,2026-11-02,20:00,ET,Mon,Pinterest,RECOVERY PROTOCOL,Fitness & Healthy Habits,T78,Carousel Pin · 3 cards (1000x1500),no,You do not need the perfect program. You need to show up.,Minimum Effective Workout,01_pin.png,content_backlog/pinterest/GG-261102-PIN,Minimum Effective Workout: swipe through all 3 cards. You do not need the perfect program. You need to show up. The workout you repeat beats the one you skip. Save this pin and follow for systems that actually stick.
GG-261103-PIN,2026-11-03,20:00,ET,Tue,Pinterest,RECOVERY PROTOCOL,Fitness & Healthy Habits,T79,Pin 1000x1500,no,The most underrated fitness tool is a pair of shoes.,10000 Steps A Day,01_pin.png,content_backlog/pinterest/GG-261103-PIN,"10000 Steps A Day. The most underrated fitness tool is a pair of shoes. Walking is the base every other workout sits on. Save this pin for later, and follow @gogettrdaily for more."
GG-261104-PIN,2026-11-04,20:00,ET,Wed,Pinterest,RECOVERY PROTOCOL,Fitness & Healthy Habits,T80,Video Pin · vertical MP4 (1080x1920),yes,You are not under-training. You are under-eating protein.,How Much Protein To Eat,video.mp4,content_backlog/pinterest/GG-261104-PIN,How Much Protein To Eat — the quick breakdown. You are not under-training. You are under-eating protein. Hit the number and recovery stops being a mystery. Save this pin for the next time you need it.
GG-261105-PIN,2026-11-05,20:00,ET,Thu,Pinterest,RECOVERY PROTOCOL,Fitness & Healthy Habits,T81,Pin 1000x1500,no,"Your bad night started at 3pm, with a coffee you forgot.",Caffeine Cutoff For Sleep,01_pin.png,content_backlog/pinterest/GG-261105-PIN,"Caffeine Cutoff For Sleep. Your bad night started at 3pm, with a coffee you forgot. Sleep is built during the day, not just at night. Save this pin for later, and follow @gogettrdaily for more."
GG-261106-PIN,2026-11-06,20:00,ET,Fri,Pinterest,RECOVERY PROTOCOL,Fitness & Healthy Habits,T82,Carousel Pin · 3 cards (1000x1500),no,Rest is not the reward for the work. It is part of it.,What Is A Deload Week,01_pin.png,content_backlog/pinterest/GG-261106-PIN,What Is A Deload Week: swipe through all 3 cards. Rest is not the reward for the work. It is part of it. Planned easy weeks are why hard weeks keep working. Save this pin and follow for systems that actually stick.
