post_id,date,time,tz,weekday,platform,pillar,board,theme_id,format,is_video,hook,title,primary_asset,asset_folder,caption
GG-260822-PIN,2026-08-22,20:00,ET,Sat,Pinterest,ENVIRONMENT ENGINEERING,Home & Life Organization,T06,Carousel Pin · 3 cards (1000x1500),no,Want Monday to feel less expensive? Pay for it on Sunday.,Sunday Reset Routine,01_pin.png,content_backlog/pinterest/GG-260822-PIN,Sunday Reset Routine: swipe through all 3 cards. Want Monday to feel less expensive? Pay for it on Sunday. Make Monday start before Monday. Save this pin and follow for systems that actually stick.
GG-260905-PIN,2026-09-05,20:00,ET,Sat,Pinterest,SYSTEM DESIGN,Home & Life Organization,T20,Video Pin · vertical MP4 (1080x1920),yes,Your life gets easier when you stop doing these 5 things.,Things To Stop Doing To Be Happier,video.mp4,content_backlog/pinterest/GG-260905-PIN,Things To Stop Doing To Be Happier — the quick breakdown. Your life gets easier when you stop doing these 5 things. What if the next upgrade is subtraction? Save this pin for the next time you need it.
GG-260920-PIN,2026-09-20,20:00,ET,Sun,Pinterest,ENVIRONMENT ENGINEERING,Home & Life Organization,T35,Pin 1000x1500,no,Do not redo the room. Fix the most annoying 10%.,Small Home Upgrades That Matter,01_pin.png,content_backlog/pinterest/GG-260920-PIN,"Small Home Upgrades That Matter. Do not redo the room. Fix the most annoying 10%. Choose the highest-friction corner and end it. Save this pin for later, and follow @gogettrdaily for more."
GG-260925-PIN,2026-09-25,20:00,ET,Fri,Pinterest,ENVIRONMENT ENGINEERING,Home & Life Organization,T40,Video Pin · vertical MP4 (1080x1920),yes,Keep 12 groceries that can always make something.,Staple Grocery List For Adults,video.mp4,content_backlog/pinterest/GG-260925-PIN,Staple Grocery List For Adults — the quick breakdown. Keep 12 groceries that can always make something. Build your 12 once. Never stare at an empty fridge again. Save this pin for the next time you need it.
GG-260930-PIN,2026-09-30,20:00,ET,Wed,Pinterest,ENVIRONMENT ENGINEERING,Home & Life Organization,T45,Pin 1000x1500,no,Make one note with the info you would hate to search for under stress.,Emergency Information Checklist,01_pin.png,content_backlog/pinterest/GG-260930-PIN,"Emergency Information Checklist. Make one note with the info you would hate to search for under stress. Create it before you need it. Save this pin for later, and follow @gogettrdaily for more."
GG-261005-PIN,2026-10-05,20:00,ET,Mon,Pinterest,ENVIRONMENT ENGINEERING,Home & Life Organization,T50,Carousel Pin · 3 cards (1000x1500),no,Mail has two jobs: act or archive. Give both a place.,How To Organize Paperwork At Home,01_pin.png,content_backlog/pinterest/GG-261005-PIN,How To Organize Paperwork At Home: swipe through all 3 cards. Mail has two jobs: act or archive. Give both a place. Stop moving paper around the house. Save this pin and follow for systems that actually stick.
GG-261008-PIN,2026-10-08,20:00,ET,Thu,Pinterest,ENVIRONMENT ENGINEERING,Home & Life Organization,T53,Pin 1000x1500,no,Refill the same five things on the same day every week.,Weekly Reset Checklist,01_pin.png,content_backlog/pinterest/GG-261008-PIN,"Weekly Reset Checklist. Refill the same five things on the same day every week. Maintenance gets easier when it has a day. Save this pin for later, and follow @gogettrdaily for more."
GG-261117-PIN,2026-11-17,20:00,ET,Tue,Pinterest,ENVIRONMENT ENGINEERING,Home & Life Organization,T93,Pin 1000x1500,no,You do not lack discipline. Your setup fights your goals.,Design Environment For Habits,01_pin.png,content_backlog/pinterest/GG-261117-PIN,"Design Environment For Habits. You do not lack discipline. Your setup fights your goals. The easy option usually wins, so rig the environment. Save this pin for later, and follow @gogettrdaily for more."
GG-261121-PIN,2026-11-21,20:00,ET,Sat,Pinterest,ENVIRONMENT ENGINEERING,Home & Life Organization,T97,Pin 1000x1500,no,Nothing new comes home until something old leaves.,One In One Out Rule,01_pin.png,content_backlog/pinterest/GG-261121-PIN,"One In One Out Rule. Nothing new comes home until something old leaves. A closed loop is how clutter stops growing. Save this pin for later, and follow @gogettrdaily for more."
GG-261124-PIN,2026-11-24,20:00,ET,Tue,Pinterest,PURCHASE LAB,Home & Life Organization,T100,Video Pin · vertical MP4 (1080x1920),yes,Decision fatigue starts at your closet every morning.,Capsule Wardrobe Basics,video.mp4,content_backlog/pinterest/GG-261124-PIN,"Capsule Wardrobe Basics — the quick breakdown. Decision fatigue starts at your closet every morning. Fewer, better pieces that all work together. Save this pin for the next time you need it."
